player_name,match_date,performance_type,performance_value
Player 030,2025-11-07,bowling,7.2
Player 031,2025-11-07,bowling,5.14
Player 032,2025-11-07,bowling,5.17
Player 033,2025-11-07,bowling,3.44
Player 034,2025-11-07,bowling,9.28
Player 035,2025-11-07,bowling,4.63
Player 036,2025-11-07,bowling,7.15
Player 037,2025-11-07,bowling,4.31
Player 038,2025-11-07,bowling,5.75
Player 039,2025-11-07,bowling,8.9
Player 040,2025-11-07,bowling,7.96
Player 041,2025-11-07,bowling,8.36
Player 042,2025-11-07,bowling,7.56
Player 043,2025-11-07,bowling,4.3
Player 044,2025-11-07,bowling,6.28
Player 045,2025-11-07,bowling,5.28
Player 046,2025-11-07,bowling,4.04
Player 047,2025-11-07,bowling,5.71
Player 048,2025-11-07,bowling,6.49
Player 049,2025-11-07,bowling,7.65
Player 050,2025-11-07,bowling,9.58
Player 051,2025-11-07,bowling,5.12
Player 052,2025-11-07,bowling,9.11
Player 053,2025-11-07,bowling,6.47
Player 054,2025-11-07,bowling,5.36
Player 055,2025-11-07,bowling,6.1
Player 056,2025-11-07,bowling,4.86
Player 057,2025-11-07,bowling,9.05
Player 058,2025-11-07,bowling,8.15
Player 059,2025-11-07,bowling,5.84
Player 060,2025-11-07,bowling,6.64
Player 061,2025-11-07,bowling,3.31
Player 062,2025-11-07,bowling,8.82
Player 063,2025-11-07,bowling,5.33
Player 064,2025-11-07,bowling,5.24
Player 065,2025-11-07,bowling,8.53
Player 066,2025-11-07,bowling,3.46
Player 067,2025-11-07,bowling,6.39
Player 068,2025-11-07,bowling,4.12
Player 069,2025-11-07,bowling,9.48
Player 070,2025-11-07,bowling,5.96
Player 071,2025-11-07,bowling,4.36
Player 072,2025-11-07,bowling,5.53
Player 073,2025-11-07,bowling,7.04
Player 074,2025-11-07,bowling,4.9
Player 075,2025-11-07,bowling,6.24
Player 076,2025-11-07,bowling,5.41
Player 077,2025-11-07,bowling,6.72
Player 078,2025-11-07,bowling,8.88
Player 079,2025-11-07,bowling,7.96
Player 080,2025-11-07,bowling,7.81
Player 081,2025-11-07,bowling,6.47
Player 082,2025-11-07,bowling,5.27
Player 083,2025-11-07,bowling,8.66
Player 084,2025-11-07,bowling,4.21
Player 085,2025-11-07,bowling,8.4
Player 086,2025-11-07,bowling,5.1
Player 087,2025-11-07,bowling,3.57
Player 088,2025-11-07,bowling,5.47
Player 089,2025-11-07,bowling,6.8
Player 090,2025-11-07,bowling,4.59
Player 091,2025-11-07,bowling,8.56
Player 092,2025-11-07,bowling,8.31
Player 093,2025-11-07,bowling,7.18
Player 094,2025-11-07,bowling,3.92
Player 095,2025-11-07,bowling,5.62
Player 096,2025-11-07,bowling,8.8
Player 097,2025-11-07,bowling,8.0
Player 098,2025-11-07,bowling,3.13
Player 099,2025-11-07,bowling,8.68
Player 100,2025-11-07,bowling,5.42
